city,state,lat,lon,timestamp,pm2_5,pm10,no2,o3,so2,co,aqi_category
Kirari Suleman Nagar,Delhi,28.7135,77.0725,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,618.0,Poor
Barasat,West Bengal,22.7232,88.4811,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,442.0,Moderate
Purnia,Bihar,25.7771,87.4753,2025-11-23T14:00,65.2,69.6,2.2,160.0,18.1,412.0,Moderate
Satna,Madhya Pradesh,24.6005,80.8322,2025-11-23T14:00,78.0,86.6,1.3,147.0,10.4,312.0,Moderate
Mau,Uttar Pradesh,25.9506,83.554,2025-11-23T14:00,93.6,101.0,2.3,174.0,19.8,525.0,Poor
Sonipat,Haryana,28.993,77.015,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,575.0,Poor
Farrukhabad,Uttar Pradesh,27.3826,79.5896,2025-11-23T14:00,90.1,96.2,2.4,182.0,28.9,503.0,Poor
Sagar,Madhya Pradesh,23.8388,78.7378,2025-11-23T14:00,70.5,78.7,0.7,135.0,9.7,343.0,Moderate
Rourkela,Odisha,22.2604,84.8536,2025-11-23T14:00,67.3,71.0,2.6,187.0,60.8,448.0,Moderate
Durg,Chhattisgarh,21.1904,81.2849,2025-11-23T14:00,46.9,48.0,33.1,140.0,18.1,940.0,Satisfactory
Imphal,Manipur,24.817,93.9368,2025-11-23T14:00,11.6,13.8,1.4,117.0,3.1,204.0,Good
Ratlam,Madhya Pradesh,23.3315,75.0367,2025-11-23T14:00,64.5,67.8,1.3,165.0,15.3,347.0,Moderate
Hapur,Uttar Pradesh,28.7306,77.7759,2025-11-23T14:00,95.9,98.3,10.9,211.0,46.6,563.0,Poor
Arrah,Bihar,25.5541,84.6665,2025-11-23T14:00,91.7,99.0,3.0,168.0,19.2,472.0,Poor
Karimnagar,Telangana,18.4386,79.1288,2025-11-23T14:00,29.5,30.3,2.5,170.0,17.8,311.0,Good
Anantapur,Andhra Pradesh,14.6819,77.6006,2025-11-23T14:00,6.7,7.8,1.2,93.0,3.5,188.0,Good
Etawah,Uttar Pradesh,26.7728,79.0197,2025-11-23T14:00,75.9,82.0,2.2,173.0,18.4,464.0,Moderate
Ambernath,Maharashtra,19.2094,73.1864,2025-11-23T14:00,34.0,34.8,6.6,211.0,12.7,336.0,Satisfactory
North Dumdum,West Bengal,22.6649,88.4116,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,434.0,Moderate
Bharatpur,Rajasthan,27.2152,77.503,2025-11-23T14:00,84.3,89.4,3.0,195.0,19.1,465.0,Moderate
Begusarai,Bihar,25.4182,86.1272,2025-11-23T14:00,85.4,92.2,3.7,177.0,23.8,434.0,Moderate
New Delhi,Delhi,28.6139,77.209,2025-11-23T14:00,99.2,101.5,11.1,211.0,48.2,627.0,Poor
Gandhidham,Gujarat,23.0753,70.1337,2025-11-23T14:00,14.3,17.8,1.2,133.0,9.6,288.0,Good
Baranagar,West Bengal,22.6432,88.3654,2025-11-23T14:00,68.7,72.9,5.9,212.0,27.7,459.0,Moderate
Tiruvottiyur,Tamil Nadu,13.16,80.3,2025-11-23T14:00,3.4,4.7,2.5,75.0,3.8,209.0,Good
Pondicherry,Puducherry,11.9416,79.8083,2025-11-23T14:00,4.7,6.4,1.2,85.0,1.2,203.0,Good
Sikar,Rajasthan,27.6094,75.1398,2025-11-23T14:00,40.0,43.5,1.6,151.0,9.2,306.0,Satisfactory
Thoothukudi,Tamil Nadu,8.7642,78.1348,2025-11-23T14:00,4.2,4.3,5.3,65.0,5.6,212.0,Good
Rewa,Madhya Pradesh,24.5362,81.3037,2025-11-23T14:00,99.4,109.7,2.2,165.0,16.1,373.0,Poor
Mirzapur,Uttar Pradesh,25.1337,82.5644,2025-11-23T14:00,102.7,110.8,2.8,185.0,20.5,416.0,Poor
Raichur,Karnataka,16.2076,77.3463,2025-11-23T14:00,20.4,22.6,3.8,144.0,18.0,208.0,Good
Pali,Rajasthan,25.7713,73.3237,2025-11-23T14:00,27.4,31.0,1.2,148.0,11.1,299.0,Good
Ramagundam,Telangana,18.7553,79.5146,2025-11-23T14:00,23.3,24.0,13.1,159.0,17.0,335.0,Good
